id,prenom,nom,sexe,age,telephone,email,adresse,region,departement,groupe_sanguin,profession,date_dernier_don,frequence_annuelle,statut_actif
DON-75612,Aissatou,Cisse,F,32,+221 78 951 74 85,aissatou.cisse@example.sn,"Quartier Escale, Kolda",Kolda,Kolda,O+,Maçon,2025-05-10,2,False
DON-10074,Amadou,Diallo,M,35,+221 75 643 84 36,amadou.diallo@example.sn,"Quartier Plateau, Saint-Louis",Saint-Louis,Saint-Louis,O+,Etudiant,2024-08-09,0,False
DON-73699,Sokhna,Sy,F,49,+221 77 993 73 26,sokhna.sy@example.sn,"Quartier Médina, Pikine",Dakar,Pikine,O+,Agriculteur,2025-11-08,4,True
DON-36365,Alioune,Niang,M,32,+221 70 769 39 79,alioune.niang@example.sn,"Quartier HLM, Linguère",Louga,Linguère,A+,Avocat,2024-07-31,2,False
DON-87128,Aissatou,Sy,F,29,+221 78 112 06 42,aissatou.sy@example.sn,"Quartier Escale, Fatick",Fatick,Fatick,AB+,Commerçant,2025-06-13,0,False
DON-38080,Ibrahima,Boye,M,34,+221 75 321 98 24,ibrahima.boye@example.sn,"Quartier Diamaguène, Kaffrine",Kaffrine,Kaffrine,A+,Sans emploi,2024-09-24,0,False
DON-71213,Adama,Faye,F,39,+221 77 265 11 77,adama.faye@example.sn,"Quartier Escale, Thiès",Thiès,Thiès,B+,Électricien,2024-12-10,2,False
DON-46509,Aissatou,Sy,F,35,+221 76 519 10 56,aissatou.sy1@example.sn,"Quartier Escale, Fatick",Fatick,Fatick,A+,Avocat,2025-07-31,2,False
DON-31798,Ibrahima,Sarr,M,57,+221 76 914 77 06,ibrahima.sarr@example.sn,"Quartier Plateau, Ziguinchor",Ziguinchor,Ziguinchor,O+,Informaticien,2025-06-06,1,False
DON-47388,Moussa,Mbaye,M,27,+221 76 916 49 91,moussa.mbaye@example.sn,"Quartier Médina, Guédiawaye",Dakar,Guédiawaye,O+,Informaticien,2024-10-26,1,False
DON-86569,Ibrahima,Seck,M,22,+221 76 943 64 29,ibrahima.seck@example.sn,"Quartier Diamaguène, Ranérou",Matam,Ranérou,B+,Fonctionnaire,2025-12-14,1,True
DON-84668,Moussa,Fall,M,40,+221 78 166 67 54,moussa.fall@example.sn,"Quartier Diamaguène, Tambacounda",Tambacounda,Tambacounda,A+,Enseignant,2025-10-04,4,True
DON-98039,Coumba,Faye,F,29,+221 70 867 09 55,coumba.faye@example.sn,"Quartier HLM, Saraya",Kédougou,Saraya,A+,Enseignant,2025-09-22,1,True
DON-55745,Salimata,Seck,F,35,+221 77 509 84 12,salimata.seck@example.sn,"Quartier HLM, Thiès",Thiès,Thiès,B+,Maçon,2025-09-21,2,True
DON-11025,Fama,Diaw,F,59,+221 75 602 27 41,fama.diaw@example.sn,"Quartier Escale, Nioro du Rip",Kaolack,Nioro du Rip,O+,Agriculteur,2024-08-11,1,False
DON-36685,Ousmane,Sane,M,28,+221 70 947 93 56,ousmane.sane@example.sn,"Quartier Plateau, Ziguinchor",Ziguinchor,Ziguinchor,O+,Chauffeur,2025-02-17,0,False
DON-93507,Malick,Thiam,M,21,+221 70 371 08 95,malick.thiam@example.sn,"Quartier Plateau, Kébémer",Louga,Kébémer,B+,Architecte,2025-09-23,4,True
DON-82420,Ousmane,Fall,M,35,+221 78 821 06 24,ousmane.fall@example.sn,"Quartier Médina, Matam",Matam,Matam,O+,Commerçant,2024-06-17,1,False
DON-83385,Aminata,Wade,F,40,+221 76 359 29 74,aminata.wade@example.sn,"Quartier Médina, Birkelane",Kaffrine,Birkelane,O+,Fonctionnaire,2025-02-06,0,False
DON-42527,Fatou,Diouf,F,44,+221 70 367 08 96,fatou.diouf@example.sn,"Quartier Escale, Kanel",Matam,Kanel,B+,Électricien,2024-03-20,0,False
DON-39219,Astou,Faye,F,30,+221 77 424 01 80,astou.faye@example.sn,"Quartier Plateau, Kébémer",Louga,Kébémer,O+,Tailleur,2025-06-15,1,False
DON-13617,Youssoupha,Camara,M,40,+221 77 538 24 63,youssoupha.camara@example.sn,"Quartier Médina, Malem Hodar",Kaffrine,Malem Hodar,O+,Chauffeur,2025-03-01,0,False
DON-60488,Boubacar,Thiam,M,32,+221 75 418 89 92,boubacar.thiam@example.sn,"Quartier HLM, Koungheul",Kaffrine,Koungheul,O-,Commerçant,2025-10-08,4,True
DON-35825,Souleymane,Diagne,M,40,+221 70 823 59 69,souleymane.diagne@example.sn,"Quartier Escale, Podor",Saint-Louis,Podor,O+,Tailleur,2024-03-19,2,False
DON-63528,Khadija,Boye,F,51,+221 70 775 11 58,khadija.boye@example.sn,"Quartier HLM, Tivaouane",Thiès,Tivaouane,B+,Architecte,2024-03-23,0,False
DON-49446,Assane,Dia,M,43,+221 76 100 68 10,assane.dia@example.sn,"Quartier HLM, Vélingara",Kolda,Vélingara,A+,Maçon,2024-07-01,0,False
DON-77000,Amy,Kane,F,33,+221 76 384 69 49,amy.kane@example.sn,"Quartier Escale, Salémata",Kédougou,Salémata,B+,Maçon,2025-06-30,2,False
DON-29313,Mariama,Samb,F,40,+221 77 177 53 37,mariama.samb@example.sn,"Quartier Médina, Saint-Louis",Saint-Louis,Saint-Louis,A+,Sans emploi,2025-07-15,2,False
DON-62383,Pape,Thiam,M,26,+221 78 347 58 36,pape.thiam@example.sn,"Quartier Escale, Saraya",Kédougou,Saraya,O+,Mécanicien,2024-09-15,1,False
DON-69829,Moussa,Gaye,M,33,+221 78 879 54 19,moussa.gaye@example.sn,"Quartier Diamaguène, Ranérou",Matam,Ranérou,AB+,Architecte,2025-10-02,3,True
DON-30861,Salimata,Samb,F,32,+221 76 855 09 17,salimata.samb@example.sn,"Quartier HLM, Ranérou",Matam,Ranérou,O+,Infirmier,2024-11-04,2,False
DON-47450,Safietou,Toure,F,38,+221 78 555 86 23,safietou.toure@example.sn,"Quartier HLM, Bignona",Ziguinchor,Bignona,A+,Tailleur,2025-11-16,1,True
DON-63424,Amadou,Sy,M,25,+221 70 881 69 12,amadou.sy@example.sn,"Quartier Plateau, Vélingara",Kolda,Vélingara,A+,Commerçant,2024-12-06,0,False
DON-59857,Seynabou,Wade,F,54,+221 76 109 89 19,seynabou.wade@example.sn,"Quartier HLM, Podor",Saint-Louis,Podor,A+,Maçon,2024-06-24,1,False
DON-38760,Fama,Sane,F,45,+221 70 831 21 14,fama.sane@example.sn,"Quartier Plateau, Ranérou",Matam,Ranérou,O+,Etudiant,2024-09-22,1,False
DON-91560,Khadija,Dia,F,42,+221 75 145 24 21,khadija.dia@example.sn,"Quartier Plateau, Dagana",Saint-Louis,Dagana,O+,Etudiant,2025-09-26,1,True
DON-69598,Ndeye,Boye,F,22,+221 70 666 23 19,ndeye.boye@example.sn,"Quartier Plateau, Sédhiou",Sédhiou,Sédhiou,B+,Chauffeur,2025-07-02,1,False
DON-95215,Mariama,Ly,F,22,+221 77 167 54 19,mariama.ly@example.sn,"Quartier Escale, Keur Massar",Dakar,Keur Massar,O+,Infirmier,2025-06-19,0,False
DON-70952,Boubacar,Gueye,M,33,+221 70 718 90 34,boubacar.gueye@example.sn,"Quartier Médina, Fatick",Fatick,Fatick,A+,Mécanicien,2025-06-25,0,False
DON-61990,Aissatou,Seck,F,36,+221 78 227 50 09,aissatou.seck@example.sn,"Quartier Diamaguène, Rufisque",Dakar,Rufisque,O+,Infirmier,2025-01-15,0,False
DON-55508,Khadija,Kane,F,45,+221 75 818 69 90,khadija.kane@example.sn,"Quartier HLM, Saint-Louis",Saint-Louis,Saint-Louis,AB+,Enseignant,2025-12-23,3,True
DON-30052,Assane,Samb,M,32,+221 76 395 50 87,assane.samb@example.sn,"Quartier Diamaguène, Sédhiou",Sédhiou,Sédhiou,B+,Chauffeur,2024-10-21,2,False
DON-21359,Oumou,Thiam,F,37,+221 70 856 32 02,oumou.thiam@example.sn,"Quartier Médina, Linguère",Louga,Linguère,B+,Avocat,2025-05-28,2,False
DON-54608,Awa,Ndiaye,F,25,+221 70 563 50 17,awa.ndiaye@example.sn,"Quartier Diamaguène, Bounkiling",Sédhiou,Bounkiling,A+,Etudiant,2025-05-15,2,False
DON-72402,Abdoulaye,Sy,M,33,+221 76 851 91 21,abdoulaye.sy@example.sn,"Quartier Escale, Kanel",Matam,Kanel,O+,Enseignant,2024-02-27,1,False
DON-79588,Samba,Diaw,M,39,+221 70 813 87 69,samba.diaw@example.sn,"Quartier Diamaguène, Foundiougne",Fatick,Foundiougne,B+,Tailleur,2024-07-17,1,False
DON-80236,Coumba,Cisse,F,24,+221 78 421 35 24,coumba.cisse@example.sn,"Quartier Médina, Kaolack",Kaolack,Kaolack,A+,Sans emploi,2025-10-04,3,True
DON-80010,Aissatou,Samb,F,26,+221 78 560 21 80,aissatou.samb@example.sn,"Quartier Escale, Foundiougne",Fatick,Foundiougne,A+,Commerçant,2026-01-20,3,True
DON-71524,Malick,Boye,M,23,+221 76 838 98 40,malick.boye@example.sn,"Quartier HLM, Dagana",Saint-Louis,Dagana,A+,Fonctionnaire,2025-04-18,0,False
DON-99974,Rokhaya,Sow,F,31,+221 77 354 55 56,rokhaya.sow@example.sn,"Quartier Médina, Louga",Louga,Louga,A+,Maçon,2024-04-30,0,False
DON-78494,Ousmane,Ndoye,M,37,+221 76 855 83 78,ousmane.ndoye@example.sn,"Quartier Plateau, Dagana",Saint-Louis,Dagana,O+,Maçon,2025-06-17,2,False
DON-91987,Sokhna,Seck,F,37,+221 78 544 00 25,sokhna.seck@example.sn,"Quartier Escale, Tambacounda",Tambacounda,Tambacounda,O+,Fonctionnaire,2025-07-06,0,False
DON-48175,Djibril,Fall,M,31,+221 77 488 35 26,djibril.fall@example.sn,"Quartier HLM, Diourbel",Diourbel,Diourbel,O+,Maçon,2024-10-10,2,False
DON-35928,Mariama,Dia,F,45,+221 76 292 56 26,mariama.dia@example.sn,"Quartier Diamaguène, Foundiougne",Fatick,Foundiougne,O+,Infirmier,2024-03-28,2,False
DON-84607,Alioune,Samb,M,22,+221 70 836 77 72,alioune.samb@example.sn,"Quartier Escale, Diourbel",Diourbel,Diourbel,O+,Avocat,2024-06-04,2,False
DON-15224,Maimouna,Mbaye,F,35,+221 76 640 76 58,maimouna.mbaye@example.sn,"Quartier Diamaguène, Nioro du Rip",Kaolack,Nioro du Rip,B+,Chauffeur,2024-06-01,0,False
DON-45325,Babacar,Dia,M,37,+221 75 167 49 75,babacar.dia@example.sn,"Quartier Médina, Linguère",Louga,Linguère,A+,Sans emploi,2024-03-17,2,False
DON-71605,Coumba,Diouf,F,38,+221 70 785 09 44,coumba.diouf@example.sn,"Quartier HLM, Koumpentoum",Tambacounda,Koumpentoum,B+,Tailleur,2025-11-02,1,True
DON-14809,Lamine,Thiam,M,28,+221 76 247 73 98,lamine.thiam@example.sn,"Quartier HLM, Kanel",Matam,Kanel,O+,Chauffeur,2024-07-20,1,False
DON-70552,Youssoupha,Mbaye,M,46,+221 76 190 93 93,youssoupha.mbaye@example.sn,"Quartier Médina, Linguère",Louga,Linguère,A+,Ingénieur,2024-07-28,1,False
DON-67424,Bintou,Mbacke,F,26,+221 76 303 71 91,bintou.mbacke@example.sn,"Quartier Escale, Saint-Louis",Saint-Louis,Saint-Louis,B-,Infirmier,2025-04-15,2,False
DON-70482,Mustapha,Ndoye,M,31,+221 77 358 32 06,mustapha.ndoye@example.sn,"Quartier Plateau, Keur Massar",Dakar,Keur Massar,A+,Maçon,2025-10-10,3,True
DON-76616,Rokhaya,Ly,F,35,+221 78 217 12 18,rokhaya.ly@example.sn,"Quartier HLM, Foundiougne",Fatick,Foundiougne,B+,Journaliste,2024-05-31,1,False
DON-74178,Fatou,Cisse,F,47,+221 78 849 18 22,fatou.cisse@example.sn,"Quartier Diamaguène, Kanel",Matam,Kanel,AB+,Sans emploi,2024-03-30,1,False
DON-41300,Fama,Toure,F,33,+221 75 742 51 84,fama.toure@example.sn,"Quartier Médina, Bignona",Ziguinchor,Bignona,B+,Journaliste,2025-07-25,0,False
DON-29936,Nafi,Ly,F,31,+221 76 162 10 86,nafi.ly@example.sn,"Quartier Médina, Kanel",Matam,Kanel,O+,Ingénieur,2024-04-07,2,False
DON-28894,Aissatou,Boye,F,23,+221 76 358 97 51,aissatou.boye@example.sn,"Quartier Escale, Kébémer",Louga,Kébémer,O+,Sans emploi,2026-01-19,3,True
DON-79942,Salimata,Diaw,F,23,+221 76 631 26 92,salimata.diaw@example.sn,"Quartier Plateau, Vélingara",Kolda,Vélingara,B+,Architecte,2024-03-15,0,False
DON-22903,Babacar,Sarr,M,62,+221 77 844 36 90,babacar.sarr@example.sn,"Quartier Médina, Salémata",Kédougou,Salémata,O+,Maçon,2024-11-16,0,False
DON-79621,Lamine,Gaye,M,30,+221 76 402 08 53,lamine.gaye@example.sn,"Quartier Médina, Rufisque",Dakar,Rufisque,B+,Fonctionnaire,2025-05-29,0,False
DON-93611,Salimata,Dia,F,52,+221 70 871 03 13,salimata.dia@example.sn,"Quartier HLM, Foundiougne",Fatick,Foundiougne,A+,Etudiant,2024-10-19,1,False
DON-49210,Khadija,Ndoye,F,32,+221 76 519 59 51,khadija.ndoye@example.sn,"Quartier Plateau, Diourbel",Diourbel,Diourbel,B+,Maçon,2024-06-12,0,False
DON-48696,Rokhaya,Sow,F,36,+221 77 764 05 18,rokhaya.sow1@example.sn,"Quartier HLM, Foundiougne",Fatick,Foundiougne,AB+,Etudiant,2024-02-18,2,False
DON-38705,Boubacar,Sane,M,44,+221 78 520 48 19,boubacar.sane@example.sn,"Quartier Médina, Bounkiling",Sédhiou,Bounkiling,A+,Mécanicien,2025-02-08,2,False
DON-48680,Mustapha,Gaye,M,36,+221 70 797 09 85,mustapha.gaye@example.sn,"Quartier Médina, Sédhiou",Sédhiou,Sédhiou,O+,Informaticien,2025-11-03,2,True
DON-48684,Dieynaba,Niang,F,27,+221 70 293 22 27,dieynaba.niang@example.sn,"Quartier Plateau, Kaolack",Kaolack,Kaolack,O+,Enseignant,2024-09-28,0,False
DON-21836,Daouda,Sane,M,57,+221 76 123 35 16,daouda.sane@example.sn,"Quartier HLM, Salémata",Kédougou,Salémata,O+,Architecte,2025-01-25,0,False
DON-58689,Bineta,Dia,F,27,+221 77 492 28 80,bineta.dia@example.sn,"Quartier Plateau, Ranérou",Matam,Ranérou,B+,Etudiant,2024-04-21,2,False
DON-49608,Salimata,Sy,F,38,+221 76 295 74 97,salimata.sy@example.sn,"Quartier Médina, Kédougou",Kédougou,Kédougou,B+,Commerçant,2024-02-17,0,False
DON-58629,Rokhaya,Sow,F,50,+221 75 803 17 80,rokhaya.sow2@example.sn,"Quartier Diamaguène, Thiès",Thiès,Thiès,A+,Agriculteur,2024-10-27,1,False
DON-68287,Serigne,Kane,M,21,+221 78 708 48 62,serigne.kane@example.sn,"Quartier Escale, Médina Yoro Foulah",Kolda,Médina Yoro Foulah,B+,Comptable,2024-11-06,2,False
DON-22015,Aminata,Mbaye,F,57,+221 78 135 83 18,aminata.mbaye@example.sn,"Quartier Escale, Kaolack",Kaolack,Kaolack,O+,Tailleur,2024-10-26,0,False
DON-53064,Abdou,Faye,M,26,+221 78 104 75 72,abdou.faye@example.sn,"Quartier HLM, Tivaouane",Thiès,Tivaouane,A+,Agriculteur,2025-06-10,0,False
DON-87182,Khady,Sow,F,24,+221 70 126 47 62,khady.sow@example.sn,"Quartier Médina, Kédougou",Kédougou,Kédougou,B+,Chauffeur,2025-06-05,0,False
DON-77271,El Hadji,Thiam,M,43,+221 75 282 96 22,elhadji.thiam@example.sn,"Quartier Plateau, Ziguinchor",Ziguinchor,Ziguinchor,B+,Ingénieur,2025-01-29,0,False
DON-17972,El Hadji,Gaye,M,35,+221 76 773 80 19,elhadji.gaye@example.sn,"Quartier Plateau, Linguère",Louga,Linguère,B+,Mécanicien,2026-01-03,4,True
DON-91830,Mariama,Wade,F,37,+221 75 645 57 06,mariama.wade@example.sn,"Quartier Plateau, Mbour",Thiès,Mbour,A+,Ingénieur,2025-04-28,1,False
DON-95316,Dieynaba,Kane,F,45,+221 75 460 74 88,dieynaba.kane@example.sn,"Quartier Plateau, Kolda",Kolda,Kolda,A+,Avocat,2024-04-04,0,False
DON-50963,Awa,Samb,F,31,+221 70 727 97 29,awa.samb@example.sn,"Quartier Médina, Bounkiling",Sédhiou,Bounkiling,A+,Sans emploi,2024-11-23,0,False
DON-82924,Abdoulaye,Fall,M,43,+221 77 653 05 41,abdoulaye.fall@example.sn,"Quartier Escale, Kolda",Kolda,Kolda,B+,Journaliste,2025-09-23,3,True
DON-37884,Nafi,Diop,F,29,+221 78 908 97 95,nafi.diop@example.sn,"Quartier Médina, Nioro du Rip",Kaolack,Nioro du Rip,A+,Mécanicien,2024-09-02,1,False
DON-91490,Aissatou,Toure,F,26,+221 75 144 04 66,aissatou.toure@example.sn,"Quartier Diamaguène, Nioro du Rip",Kaolack,Nioro du Rip,B+,Chauffeur,2024-07-09,0,False
DON-28776,Alioune,Diaw,M,52,+221 75 772 40 45,alioune.diaw@example.sn,"Quartier Escale, Dagana",Saint-Louis,Dagana,B+,Agriculteur,2025-08-02,2,False
DON-58503,Abdoulaye,Sane,M,30,+221 70 644 22 41,abdoulaye.sane@example.sn,"Quartier Diamaguène, Ziguinchor",Ziguinchor,Ziguinchor,B+,Enseignant,2025-08-26,1,True
DON-65576,Moussa,Toure,M,40,+221 76 841 62 70,moussa.toure@example.sn,"Quartier Plateau, Tambacounda",Tambacounda,Tambacounda,A+,Chauffeur,2024-03-28,0,False
DON-97442,Omar,Thiam,M,40,+221 70 176 19 76,omar.thiam@example.sn,"Quartier Médina, Mbour",Thiès,Mbour,AB-,Électricien,2024-08-13,2,False
DON-53007,Mamadou,Faye,M,44,+221 77 112 96 86,mamadou.faye@example.sn,"Quartier Plateau, Kaolack",Kaolack,Kaolack,O+,Journaliste,2025-04-13,0,False
DON-19447,Samba,Ndoye,M,34,+221 76 170 97 14,samba.ndoye@example.sn,"Quartier Plateau, Matam",Matam,Matam,O+,Etudiant,2025-02-06,1,False
DON-25096,Lamine,Seck,M,31,+221 76 134 99 14,lamine.seck@example.sn,"Quartier HLM, Vélingara",Kolda,Vélingara,O+,Fonctionnaire,2025-04-13,2,False
DON-87184,Maimouna,Diagne,F,32,+221 76 979 06 32,maimouna.diagne@example.sn,"Quartier Escale, Kaffrine",Kaffrine,Kaffrine,A+,Électricien,2024-11-14,1,False
DON-76840,Astou,Ba,F,23,+221 78 686 15 44,astou.ba@example.sn,"Quartier HLM, Saint-Louis",Saint-Louis,Saint-Louis,O+,Agriculteur,2024-08-09,0,False
DON-19876,Amadou,Camara,M,37,+221 78 928 99 08,amadou.camara@example.sn,"Quartier Plateau, Fatick",Fatick,Fatick,O+,Avocat,2024-04-03,2,False
DON-46002,Bintou,Ba,F,22,+221 75 194 24 11,bintou.ba@example.sn,"Quartier HLM, Bambey",Diourbel,Bambey,B+,Ingénieur,2025-03-30,0,False
DON-21835,Oumou,Mbacke,F,30,+221 75 950 71 86,oumou.mbacke@example.sn,"Quartier Plateau, Dakar",Dakar,Dakar,A-,Avocat,2024-04-14,2,False
DON-75715,Pape,Diagne,M,39,+221 78 203 80 68,pape.diagne@example.sn,"Quartier Plateau, Podor",Saint-Louis,Podor,B+,Mécanicien,2024-10-04,1,False
DON-78690,Souleymane,Sarr,M,27,+221 75 366 33 19,souleymane.sarr@example.sn,"Quartier HLM, Diourbel",Diourbel,Diourbel,B+,Comptable,2024-11-11,1,False
DON-53213,Adama,Toure,F,45,+221 77 748 54 71,adama.toure@example.sn,"Quartier HLM, Kaffrine",Kaffrine,Kaffrine,O+,Chauffeur,2025-11-28,2,True
DON-96787,Mariama,Seck,F,52,+221 76 316 34 49,mariama.seck@example.sn,"Quartier Diamaguène, Kédougou",Kédougou,Kédougou,B+,Enseignant,2024-04-03,1,False
DON-78995,Bintou,Gaye,F,40,+221 77 810 35 80,bintou.gaye@example.sn,"Quartier Diamaguène, Birkelane",Kaffrine,Birkelane,O+,Comptable,2024-03-04,0,False
DON-28030,Sokhna,Diouf,F,55,+221 78 229 46 15,sokhna.diouf@example.sn,"Quartier HLM, Foundiougne",Fatick,Foundiougne,B+,Mécanicien,2025-06-17,2,False
DON-33703,Daouda,Ba,M,24,+221 75 377 72 86,daouda.ba@example.sn,"Quartier Plateau, Podor",Saint-Louis,Podor,B+,Commerçant,2025-08-21,4,True
DON-40671,Khadija,Sane,F,37,+221 75 501 25 81,khadija.sane@example.sn,"Quartier HLM, Foundiougne",Fatick,Foundiougne,O+,Sans emploi,2024-11-01,0,False
DON-79135,Khadija,Seck,F,44,+221 76 371 88 84,khadija.seck@example.sn,"Quartier Médina, Bounkiling",Sédhiou,Bounkiling,O+,Agriculteur,2024-09-07,1,False
DON-26341,Malick,Ly,M,36,+221 70 240 71 91,malick.ly@example.sn,"Quartier Médina, Kébémer",Louga,Kébémer,A+,Chauffeur,2024-08-24,1,False
DON-16980,Assane,Fall,M,50,+221 76 942 22 81,assane.fall@example.sn,"Quartier HLM, Foundiougne",Fatick,Foundiougne,O+,Infirmier,2024-12-06,1,False
DON-53947,Omar,Sy,M,53,+221 78 330 85 38,omar.sy@example.sn,"Quartier Escale, Rufisque",Dakar,Rufisque,O+,Maçon,2024-04-09,1,False
DON-43544,Youssoupha,Diaw,M,38,+221 78 350 85 22,youssoupha.diaw@example.sn,"Quartier Diamaguène, Bounkiling",Sédhiou,Bounkiling,O+,Ingénieur,2026-01-15,4,True
DON-91633,Youssoupha,Cisse,M,24,+221 76 205 37 29,youssoupha.cisse@example.sn,"Quartier Escale, Foundiougne",Fatick,Foundiougne,A+,Sans emploi,2024-04-20,2,False
DON-90584,Malick,Niang,M,41,+221 70 503 59 98,malick.niang@example.sn,"Quartier Diamaguène, Bakel",Tambacounda,Bakel,A-,Journaliste,2026-02-02,2,True
DON-82633,Souleymane,Diallo,M,35,+221 77 755 07 26,souleymane.diallo@example.sn,"Quartier Plateau, Tivaouane",Thiès,Tivaouane,O+,Commerçant,2024-09-02,2,False
DON-96127,Bineta,Camara,F,30,+221 77 657 87 36,bineta.camara@example.sn,"Quartier Médina, Matam",Matam,Matam,A+,Commerçant,2025-06-02,1,False
DON-33891,Bintou,Diouf,F,33,+221 78 205 86 51,bintou.diouf@example.sn,"Quartier Plateau, Linguère",Louga,Linguère,O+,Commerçant,2024-04-28,1,False
DON-81176,Ibrahima,Gaye,M,29,+221 76 524 98 99,ibrahima.gaye@example.sn,"Quartier Escale, Fatick",Fatick,Fatick,B+,Informaticien,2024-12-23,1,False
DON-67272,Safietou,Diop,F,29,+221 76 837 75 56,safietou.diop@example.sn,"Quartier Plateau, Linguère",Louga,Linguère,A+,Tailleur,2025-01-23,0,False
DON-66440,Maimouna,Ly,F,45,+221 75 402 75 57,maimouna.ly@example.sn,"Quartier Diamaguène, Koungheul",Kaffrine,Koungheul,O+,Maçon,2025-11-15,3,True
DON-31842,Abdoulaye,Ba,M,28,+221 76 689 79 79,abdoulaye.ba@example.sn,"Quartier Plateau, Salémata",Kédougou,Salémata,O+,Commerçant,2024-11-24,2,False
DON-97973,Salimata,Thiam,F,58,+221 76 709 53 49,salimata.thiam@example.sn,"Quartier Diamaguène, Nioro du Rip",Kaolack,Nioro du Rip,O+,Fonctionnaire,2025-11-19,1,True
DON-58015,Boubacar,Dia,M,21,+221 70 742 32 30,boubacar.dia@example.sn,"Quartier Diamaguène, Dagana",Saint-Louis,Dagana,A+,Commerçant,2024-04-14,2,False
DON-79397,Daouda,Mbacke,M,32,+221 70 767 79 03,daouda.mbacke@example.sn,"Quartier HLM, Koungheul",Kaffrine,Koungheul,A+,Chauffeur,2025-09-16,2,True
DON-44311,Mamadou,Sane,M,34,+221 70 848 72 20,mamadou.sane1@example.sn,"Quartier Médina, Bambey",Diourbel,Bambey,O+,Maçon,2025-10-06,4,True
DON-21506,Ousmane,Gueye,M,32,+221 70 682 88 29,ousmane.gueye@example.sn,"Quartier Escale, Louga",Louga,Louga,O+,Architecte,2024-11-05,2,False
DON-57381,Sokhna,Boye,F,41,+221 75 476 21 50,sokhna.boye@example.sn,"Quartier Escale, Mbacké",Diourbel,Mbacké,O+,Informaticien,2025-08-09,2,True
DON-90209,Serigne,Ndiaye,M,33,+221 77 210 30 70,serigne.ndiaye@example.sn,"Quartier HLM, Koungheul",Kaffrine,Koungheul,O-,Électricien,2025-09-24,4,True
DON-19720,Safietou,Thiam,F,22,+221 76 881 53 84,safietou.thiam@example.sn,"Quartier Diamaguène, Linguère",Louga,Linguère,O+,Comptable,2024-04-17,0,False
DON-77908,Youssoupha,Gueye,M,52,+221 78 610 23 63,youssoupha.gueye@example.sn,"Quartier Médina, Vélingara",Kolda,Vélingara,A+,Fonctionnaire,2025-09-29,3,True
DON-45972,Omar,Niang,M,27,+221 78 608 05 53,omar.niang@example.sn,"Quartier Diamaguène, Kaolack",Kaolack,Kaolack,O+,Architecte,2024-07-19,0,False
DON-54252,Abdou,Seck,M,39,+221 75 169 11 25,abdou.seck@example.sn,"Quartier Escale, Diourbel",Diourbel,Diourbel,O+,Enseignant,2024-05-25,0,False
DON-92203,Bintou,Faye,F,31,+221 75 585 98 83,bintou.faye@example.sn,"Quartier HLM, Podor",Saint-Louis,Podor,O+,Sans emploi,2024-09-12,0,False
DON-70875,Sokhna,Mbacke,F,22,+221 78 670 74 84,sokhna.mbacke@example.sn,"Quartier Diamaguène, Tivaouane",Thiès,Tivaouane,B+,Agriculteur,2024-09-26,1,False
DON-23917,Nafi,Boye,F,24,+221 70 505 56 88,nafi.boye@example.sn,"Quartier Plateau, Malem Hodar",Kaffrine,Malem Hodar,B+,Mécanicien,2024-07-08,1,False
DON-64805,Astou,Gueye,F,28,+221 78 367 93 15,astou.gueye@example.sn,"Quartier HLM, Thiès",Thiès,Thiès,B+,Tailleur,2024-05-14,0,False
